	CHROM	BIN_START	BIN_END	N_VARIANTS	WEIGHTED_FST	MEAN_FST
2	chr1	1050001	1060000	16	0.711214	0.263166
3	chr1	1060001	1070000	5	0.245747	0.158881
5	chr1	1080001	1090000	7	0.580874	0.306382
6	chr1	1090001	1100000	6	0.624736	0.11536
10	chr1	1130001	1140000	7	0.668681	0.408978
11	chr1	1140001	1150000	4	0.625592	0.197199
12	chr1	1150001	1160000	5	0.435111	0.26577
14	chr1	1170001	1180000	17	-0.010333	0.0226575
15	chr1	1180001	1190000	10	0.496138	0.043603
16	chr1	1190001	1200000	8	0.534731	0.300696
17	chr1	1200001	1210000	5	0.0104593	0.0381257
18	chr1	1210001	1220000	1	-0.0464602	-0.0464602
19	chr1	1220001	1230000	6	0.755604	0.11035
20	chr1	1230001	1240000	4	0.127154	0.122056
21	chr1	1240001	1250000	12	0.528519	0.234784
22	chr1	1270001	1280000	1	-0.060459	-0.060459
26	chr1	1340001	1350000	3	0.0743918	0.0423312
29	chr1	1470001	1480000	30	0.454106	0.269902
31	chr1	1490001	1500000	4	0.218818	0.0282106
32	chr1	1500001	1510000	26	0.539772	0.189506
